mu,sigma,h0,L,t,liquid
0.01,0.042,0.001,0.024,,beet
0.01,0.042,0.0002,0.024,3.10155077538769,beet
0.01,0.042,0.000203,0.024,16.008004002001,beet
0.01,0.042,0.000207,0.024,3.70185092546273,beet
0.01,0.042,0.00021,0.024,3.50175087543772,beet
0.01,0.042,0.000213,0.024,200,beet
0.01,0.042,0.000217,0.024,200,beet
0.01,0.042,0.00022,0.024,200,beet
0.01,0.042,0.000224,0.024,200,beet
0.01,0.042,0.000228,0.024,200,beet
0.01,0.042,0.000232,0.024,200,beet
0.01,0.042,0.000235,0.024,200,beet
0.01,0.042,0.000239,0.024,200,beet
0.01,0.042,0.000243,0.024,200,beet
0.01,0.042,0.000247,0.024,186.093046523262,beet
0.01,0.042,0.000251,0.024,158.679339669835,beet
0.01,0.042,0.000255,0.024,135.667833916958,beet
0.01,0.042,0.000259,0.024,116.658329164582,beet
0.01,0.042,0.000264,0.024,97.9489744872436,beet
0.01,0.042,0.000268,0.024,85.4427213606803,beet
0.01,0.042,0.000272,0.024,74.6373186593297,beet
0.01,0.042,0.000277,0.024,63.7318659329665,beet
0.01,0.042,0.000281,0.024,56.328164082041,beet
0.01,0.042,0.000286,0.024,48.224112056028,beet
0.01,0.042,0.000291,0.024,41.7208604302151,beet
0.01,0.042,0.000295,0.024,37.2186093046523,beet
0.01,0.042,0.0003,0.024,32.216108054027,beet
0.01,0.042,0.000305,0.024,28.1140570285143,beet
0.01,0.042,0.00031,0.024,24.512256128064,beet
0.01,0.042,0.000315,0.024,21.4107053526763,beet
0.01,0.042,0.00032,0.024,18.7093546773387,beet
0.01,0.042,0.000326,0.024,16.1080540270135,beet
0.01,0.042,0.000331,0.024,14.1070535267634,beet
0.01,0.042,0.000336,0.024,12.4062031015508,beet
0.01,0.042,0.000342,0.024,10.7053526763382,beet
0.01,0.042,0.000348,0.024,9.20460230115057,beet
0.01,0.042,0.000353,0.024,8.10405202601301,beet
0.01,0.042,0.000359,0.024,7.00350175087544,beet
0.01,0.042,0.000365,0.024,6.00300150075038,beet
0.01,0.042,0.000371,0.024,5.10255127563782,beet
0.01,0.042,0.000377,0.024,4.40220110055028,beet
0.01,0.042,0.000383,0.024,3.70185092546273,beet
0.01,0.042,0.000389,0.024,3.10155077538769,beet
0.01,0.042,0.000396,0.024,2.50125062531266,beet
0.01,0.042,0.000402,0.024,1.90095047523762,beet
0.01,0.042,0.000409,0.024,,beet
0.01,0.042,0.000416,0.024,,beet
0.01,0.042,0.000422,0.024,,beet
0.01,0.042,0.000429,0.024,,beet
0.01,0.042,0.000436,0.024,,beet
0.01,0.042,0.000444,0.024,,beet
0.01,0.042,0.000451,0.024,,beet
0.01,0.042,0.000458,0.024,,beet
0.01,0.042,0.000466,0.024,,beet
0.01,0.042,0.000473,0.024,,beet
0.01,0.042,0.000481,0.024,,beet
0.01,0.042,0.000489,0.024,,beet
0.01,0.042,0.000497,0.024,,beet
0.01,0.042,0.000505,0.024,,beet
0.01,0.042,0.000513,0.024,,beet
0.01,0.042,0.000522,0.024,,beet
0.01,0.042,0.00053,0.024,,beet
0.01,0.042,0.000539,0.024,,beet
0.01,0.042,0.000548,0.024,,beet
0.01,0.042,0.000557,0.024,,beet
0.01,0.042,0.000566,0.024,,beet
0.01,0.042,0.000575,0.024,,beet
0.01,0.042,0.000585,0.024,,beet
0.01,0.042,0.000594,0.024,,beet
0.01,0.042,0.000604,0.024,,beet
0.01,0.042,0.000614,0.024,,beet
0.01,0.042,0.000624,0.024,,beet
0.01,0.042,0.000634,0.024,,beet
0.01,0.042,0.000645,0.024,,beet
0.01,0.042,0.000655,0.024,,beet
0.01,0.042,0.000666,0.024,,beet
0.01,0.042,0.000677,0.024,,beet
0.01,0.042,0.000688,0.024,,beet
0.01,0.042,0.000699,0.024,,beet
0.01,0.042,0.000711,0.024,,beet
0.01,0.042,0.000722,0.024,,beet
0.01,0.042,0.000734,0.024,,beet
0.01,0.042,0.000746,0.024,,beet
0.01,0.042,0.000759,0.024,,beet
0.01,0.042,0.000771,0.024,,beet
0.01,0.042,0.000784,0.024,,beet
0.01,0.042,0.000796,0.024,,beet
0.01,0.042,0.000809,0.024,,beet
0.01,0.042,0.000823,0.024,,beet
0.01,0.042,0.000836,0.024,,beet
0.01,0.042,0.00085,0.024,,beet
0.01,0.042,0.000864,0.024,,beet
0.01,0.042,0.000878,0.024,,beet
0.01,0.042,0.000892,0.024,,beet
0.01,0.042,0.000907,0.024,,beet
0.01,0.042,0.000922,0.024,,beet
0.01,0.042,0.000937,0.024,,beet
0.01,0.042,0.000952,0.024,,beet
0.01,0.042,0.000968,0.024,,beet
0.01,0.042,0.000984,0.024,,beet
0.0105,0.0656,0.001,0.024,,gw60
0.0105,0.0656,0.0002,0.024,2.00100050025012,gw60
0.0105,0.0656,0.000203,0.024,2.40120060030015,gw60
0.0105,0.0656,0.000207,0.024,8.80440220110055,gw60
0.0105,0.0656,0.00021,0.024,7.70385192596298,gw60
0.0105,0.0656,0.000213,0.024,200,gw60
0.0105,0.0656,0.000217,0.024,200,gw60
0.0105,0.0656,0.00022,0.024,200,gw60
0.0105,0.0656,0.000224,0.024,200,gw60
0.0105,0.0656,0.000228,0.024,200,gw60
0.0105,0.0656,0.000232,0.024,200,gw60
0.0105,0.0656,0.000235,0.024,200,gw60
0.0105,0.0656,0.000239,0.024,200,gw60
0.0105,0.0656,0.000243,0.024,200,gw60
0.0105,0.0656,0.000247,0.024,200,gw60
0.0105,0.0656,0.000251,0.024,200,gw60
0.0105,0.0656,0.000255,0.024,200,gw60
0.0105,0.0656,0.000259,0.024,200,gw60
0.0105,0.0656,0.000264,0.024,200,gw60
0.0105,0.0656,0.000268,0.024,200,gw60
0.0105,0.0656,0.000272,0.024,200,gw60
0.0105,0.0656,0.000277,0.024,200,gw60
0.0105,0.0656,0.000281,0.024,196.298149074537,gw60
0.0105,0.0656,0.000286,0.024,148.874437218609,gw60
0.0105,0.0656,0.000291,0.024,116.758379189595,gw60
0.0105,0.0656,0.000295,0.024,97.6488244122061,gw60
0.0105,0.0656,0.0003,0.024,79.1395697848924,gw60
0.0105,0.0656,0.000305,0.024,65.4327163581791,gw60
0.0105,0.0656,0.00031,0.024,54.2271135567784,gw60
0.0105,0.0656,0.000315,0.024,45.8229114557279,gw60
0.0105,0.0656,0.00032,0.024,38.7193596798399,gw60
0.0105,0.0656,0.000326,0.024,32.216108054027,gw60
0.0105,0.0656,0.000331,0.024,27.5137568784392,gw60
0.0105,0.0656,0.000336,0.024,23.911955977989,gw60
0.0105,0.0656,0.000342,0.024,20.1100550275138,gw60
0.0105,0.0656,0.000348,0.024,17.0085042521261,gw60
0.0105,0.0656,0.000353,0.024,14.8074037018509,gw60
0.0105,0.0656,0.000359,0.024,12.6063031515758,gw60
0.0105,0.0656,0.000365,0.024,10.8054027013507,gw60
0.0105,0.0656,0.000371,0.024,9.20460230115057,gw60
0.0105,0.0656,0.000377,0.024,7.90395197598799,gw60
0.0105,0.0656,0.000383,0.024,6.80340170085043,gw60
0.0105,0.0656,0.000389,0.024,5.80290145072536,gw60
0.0105,0.0656,0.000396,0.024,4.8024012006003,gw60
0.0105,0.0656,0.000402,0.024,4.10205102551276,gw60
0.0105,0.0656,0.000409,0.024,3.30165082541271,gw60
0.0105,0.0656,0.000416,0.024,2.70135067533767,gw60
0.0105,0.0656,0.000422,0.024,2.20110055027514,gw60
0.0105,0.0656,0.000429,0.024,1.70085042521261,gw60
0.0105,0.0656,0.000436,0.024,,gw60
0.0105,0.0656,0.000444,0.024,,gw60
0.0105,0.0656,0.000451,0.024,,gw60
0.0105,0.0656,0.000458,0.024,,gw60
0.0105,0.0656,0.000466,0.024,,gw60
0.0105,0.0656,0.000473,0.024,,gw60
0.0105,0.0656,0.000481,0.024,,gw60
0.0105,0.0656,0.000489,0.024,,gw60
0.0105,0.0656,0.000497,0.024,,gw60
0.0105,0.0656,0.000505,0.024,,gw60
0.0105,0.0656,0.000513,0.024,,gw60
0.0105,0.0656,0.000522,0.024,,gw60
0.0105,0.0656,0.00053,0.024,,gw60
0.0105,0.0656,0.000539,0.024,,gw60
0.0105,0.0656,0.000548,0.024,,gw60
0.0105,0.0656,0.000557,0.024,,gw60
0.0105,0.0656,0.000566,0.024,,gw60
0.0105,0.0656,0.000575,0.024,,gw60
0.0105,0.0656,0.000585,0.024,,gw60
0.0105,0.0656,0.000594,0.024,,gw60
0.0105,0.0656,0.000604,0.024,,gw60
0.0105,0.0656,0.000614,0.024,,gw60
0.0105,0.0656,0.000624,0.024,,gw60
0.0105,0.0656,0.000634,0.024,,gw60
0.0105,0.0656,0.000645,0.024,,gw60
0.0105,0.0656,0.000655,0.024,,gw60
0.0105,0.0656,0.000666,0.024,,gw60
0.0105,0.0656,0.000677,0.024,,gw60
0.0105,0.0656,0.000688,0.024,,gw60
0.0105,0.0656,0.000699,0.024,,gw60
0.0105,0.0656,0.000711,0.024,,gw60
0.0105,0.0656,0.000722,0.024,,gw60
0.0105,0.0656,0.000734,0.024,,gw60
0.0105,0.0656,0.000746,0.024,,gw60
0.0105,0.0656,0.000759,0.024,,gw60
0.0105,0.0656,0.000771,0.024,,gw60
0.0105,0.0656,0.000784,0.024,,gw60
0.0105,0.0656,0.000796,0.024,,gw60
0.0105,0.0656,0.000809,0.024,,gw60
0.0105,0.0656,0.000823,0.024,,gw60
0.0105,0.0656,0.000836,0.024,,gw60
0.0105,0.0656,0.00085,0.024,,gw60
0.0105,0.0656,0.000864,0.024,,gw60
0.0105,0.0656,0.000878,0.024,,gw60
0.0105,0.0656,0.000892,0.024,,gw60
0.0105,0.0656,0.000907,0.024,,gw60
0.0105,0.0656,0.000922,0.024,,gw60
0.0105,0.0656,0.000937,0.024,,gw60
0.0105,0.0656,0.000952,0.024,,gw60
0.0105,0.0656,0.000968,0.024,,gw60
0.0105,0.0656,0.000984,0.024,,gw60
0.058,0.0638,0.001,0.024,,gw80
0.058,0.0638,0.0002,0.024,5.50275137568784,gw80
0.058,0.0638,0.000203,0.024,7.40370185092546,gw80
0.058,0.0638,0.000207,0.024,16.8084042021011,gw80
0.058,0.0638,0.00021,0.024,14.4072036018009,gw80
0.058,0.0638,0.000213,0.024,14.8074037018509,gw80
0.058,0.0638,0.000217,0.024,200,gw80
0.058,0.0638,0.00022,0.024,200,gw80
0.058,0.0638,0.000224,0.024,200,gw80
0.058,0.0638,0.000228,0.024,200,gw80
0.058,0.0638,0.000232,0.024,200,gw80
0.058,0.0638,0.000235,0.024,200,gw80
0.058,0.0638,0.000239,0.024,200,gw80
0.058,0.0638,0.000243,0.024,200,gw80
0.058,0.0638,0.000247,0.024,200,gw80
0.058,0.0638,0.000251,0.024,200,gw80
0.058,0.0638,0.000255,0.024,200,gw80
0.058,0.0638,0.000259,0.024,200,gw80
0.058,0.0638,0.000264,0.024,200,gw80
0.058,0.0638,0.000268,0.024,200,gw80
0.058,0.0638,0.000272,0.024,200,gw80
0.058,0.0638,0.000277,0.024,200,gw80
0.058,0.0638,0.000281,0.024,200,gw80
0.058,0.0638,0.000286,0.024,200,gw80
0.058,0.0638,0.000291,0.024,200,gw80
0.058,0.0638,0.000295,0.024,200,gw80
0.058,0.0638,0.0003,0.024,200,gw80
0.058,0.0638,0.000305,0.024,200,gw80
0.058,0.0638,0.00031,0.024,200,gw80
0.058,0.0638,0.000315,0.024,200,gw80
0.058,0.0638,0.00032,0.024,189.094547273637,gw80
0.058,0.0638,0.000326,0.024,159.979989994997,gw80
0.058,0.0638,0.000331,0.024,139.669834917459,gw80
0.058,0.0638,0.000336,0.024,122.361180590295,gw80
0.058,0.0638,0.000342,0.024,105.552776388194,gw80
0.058,0.0638,0.000348,0.024,91.1455727863932,gw80
0.058,0.0638,0.000353,0.024,80.9404702351176,gw80
0.058,0.0638,0.000359,0.024,70.6353176588294,gw80
0.058,0.0638,0.000365,0.024,61.7308654327164,gw80
0.058,0.0638,0.000371,0.024,54.0270135067534,gw80
0.058,0.0638,0.000377,0.024,47.623811905953,gw80
0.058,0.0638,0.000383,0.024,42.0210105052526,gw80
0.058,0.0638,0.000389,0.024,37.0185092546273,gw80
0.058,0.0638,0.000396,0.024,32.3161580790395,gw80
0.058,0.0638,0.000402,0.024,28.6143071535768,gw80
0.058,0.0638,0.000409,0.024,24.9124562281141,gw80
0.058,0.0638,0.000416,0.024,21.8109054527264,gw80
0.058,0.0638,0.000422,0.024,19.4097048524262,gw80
0.058,0.0638,0.000429,0.024,16.8084042021011,gw80
0.058,0.0638,0.000436,0.024,14.7073536768384,gw80
0.058,0.0638,0.000444,0.024,12.6063031515758,gw80
0.058,0.0638,0.000451,0.024,10.9054527263632,gw80
0.058,0.0638,0.000458,0.024,9.50475237618809,gw80
0.058,0.0638,0.000466,0.024,8.10405202601301,gw80
0.058,0.0638,0.000473,0.024,6.90345172586293,gw80
0.058,0.0638,0.000481,0.024,5.70285142571286,gw80
0.058,0.0638,0.000489,0.024,4.50225112556278,gw80
0.058,0.0638,0.000497,0.024,3.30165082541271,gw80
0.058,0.0638,0.000505,0.024,,gw80
0.058,0.0638,0.000513,0.024,,gw80
0.058,0.0638,0.000522,0.024,,gw80
0.058,0.0638,0.00053,0.024,,gw80
0.058,0.0638,0.000539,0.024,,gw80
0.058,0.0638,0.000548,0.024,,gw80
0.058,0.0638,0.000557,0.024,,gw80
0.058,0.0638,0.000566,0.024,,gw80
0.058,0.0638,0.000575,0.024,,gw80
0.058,0.0638,0.000585,0.024,,gw80
0.058,0.0638,0.000594,0.024,,gw80
0.058,0.0638,0.000604,0.024,,gw80
0.058,0.0638,0.000614,0.024,,gw80
0.058,0.0638,0.000624,0.024,,gw80
0.058,0.0638,0.000634,0.024,,gw80
0.058,0.0638,0.000645,0.024,,gw80
0.058,0.0638,0.000655,0.024,,gw80
0.058,0.0638,0.000666,0.024,,gw80
0.058,0.0638,0.000677,0.024,,gw80
0.058,0.0638,0.000688,0.024,,gw80
0.058,0.0638,0.000699,0.024,,gw80
0.058,0.0638,0.000711,0.024,,gw80
0.058,0.0638,0.000722,0.024,,gw80
0.058,0.0638,0.000734,0.024,,gw80
0.058,0.0638,0.000746,0.024,,gw80
0.058,0.0638,0.000759,0.024,,gw80
0.058,0.0638,0.000771,0.024,,gw80
0.058,0.0638,0.000784,0.024,,gw80
0.058,0.0638,0.000796,0.024,,gw80
0.058,0.0638,0.000809,0.024,,gw80
0.058,0.0638,0.000823,0.024,,gw80
0.058,0.0638,0.000836,0.024,,gw80
0.058,0.0638,0.00085,0.024,,gw80
0.058,0.0638,0.000864,0.024,,gw80
0.058,0.0638,0.000878,0.024,,gw80
0.058,0.0638,0.000892,0.024,,gw80
0.058,0.0638,0.000907,0.024,,gw80
0.058,0.0638,0.000922,0.024,,gw80
0.058,0.0638,0.000937,0.024,,gw80
0.058,0.0638,0.000952,0.024,,gw80
0.058,0.0638,0.000968,0.024,,gw80
0.058,0.0638,0.000984,0.024,,gw80
